can_number,pieces_trash,pieces_recycle,pieces_compost,total_piece_volume,weight_trash_lbs,weight_recycle_lbs,weight_compost_lbs,total_can_weight,original_stream,time_collected,notes_stream,notes_contaminants,prop_pieces_trash,prop_pieces_recycle,prop_pieces_compost,prop_trash_weight,prop_recycle_weight,prop_compost_weight,big_belly_compactor,plaza_top,plaza_bottom,zwelis,loop
1,35,8,37,80,1.4,0,1.2,2.6,trash,1/31/2022 3:36,,,43.75%,10.00%,46.25%,53.85%,0.00%,46.15%,F,F,F,F,T
2,16,6,52,74,4.8,0,3,7.8,trash,1/31/2022 3:25,,,21.62%,8.11%,70.27%,61.54%,0.00%,38.46%,F,F,F,F,T
3,36,0,52,88,1.2,0,2.6,3.8,trash,1/31/2022 3:41,,,40.91%,0.00%,59.09%,31.58%,0.00%,68.42%,F,F,F,F,T
4,21,27,21,69,1,1.6,5,7.6,trash,1/31/2002 3:50,,,30.43%,39.13%,30.43%,13.16%,21.05%,65.79%,F,F,F,F,T
5,13,7,10,30,1,0,0.8,1.8,trash,1/31/2022 3:21,,,43.33%,23.33%,33.33%,55.56%,0.00%,44.44%,F,F,F,F,T
6,30,3,30,63,2,0.6,3.6,6.2,trash,1/31/2022 3:18,,,47.62%,4.76%,47.62%,32.26%,9.68%,58.06%,F,F,F,F,T
7,25,17,11,53,1,1,0.6,2.6,recycling,1/31/2022 3:39,,,47.17%,32.08%,20.75%,38.46%,38.46%,23.08%,F,F,F,F,T
8,43,14,66,123,1.6,1.2,7.2,10,recycling,1/31/2022 3:51,,,34.96%,11.38%,53.66%,16.00%,12.00%,72.00%,F,F,F,F,T
9,25,3,34,62,0.6,4,0.4,5,compost,1/31/2022 3:38,,almost no compost in comparison to trash and recycling; almost like people are afraid to do it (because they don't know how?),40.32%,4.84%,54.84%,12.00%,80.00%,8.00%,F,F,F,F,T
10,5,2,10,17,0.1,0,1.4,1.5,compost,1/31/2022 3:49,,almost no compost in comparison to trash and recycling; almost like people are afraid to do it (because they don't know how?),29.41%,11.76%,58.82%,6.67%,0.00%,93.33%,F,F,F,F,T
11,23,4,38,65,1,0.4,3.2,4.6,trash,1/31/2002: 3:42,,,35.38%,6.15%,58.46%,21.74%,8.70%,69.57%,F,F,F,F,T
12,20,0,14,34,0.6,0,0.6,1.2,trash,01/31/2022 8:50 PM,,,58.82%,0.00%,41.18%,50.00%,0.00%,50.00%,F,F,F,F,T
13,23,4,30,57,1,0,5.4,6.4,trash,1/31/2022 8:49,,,40.35%,7.02%,52.63%,15.63%,0.00%,84.38%,F,F,F,F,T
14,19,2,10,31,1.2,0,1.6,2.8,trash,1/31/2002 8:45,,,61.29%,6.45%,32.26%,42.86%,0.00%,57.14%,F,F,F,F,T
15,49,8,51,108,2.4,0,5.2,7.6,trash,1/31/2022 8:42,,,45.37%,7.41%,47.22%,31.58%,0.00%,68.42%,F,F,F,F,T
16,3,3,7,13,0.6,0.4,0.2,1.2,trash,1/31/2022 8:44,,,23.08%,23.08%,53.85%,50.00%,33.33%,16.67%,F,F,F,F,T
17,5,7,8,20,0.2,0.4,0.2,0.8,trash,1/31/2022 8:43,,,25.00%,35.00%,40.00%,25.00%,50.00%,25.00%,F,F,F,F,T
18,7,2,9,18,0.2,0,0.4,0.6,recycling,1/31/2022 8:45,,,38.89%,11.11%,50.00%,33.33%,0.00%,66.67%,F,F,F,F,T
19,2,3,4,9,0.2,0.2,0.2,0.6,recycling,1/31/2022 8:41,,,22.22%,33.33%,44.44%,33.33%,33.33%,33.33%,F,F,F,F,T
20,5,0,5,10,0.6,0,0,0.6,compost,1/31/2022 8:41,,,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,F,F,F,F,T
21,6,0,13,19,0.2,0,0.8,1,compost,1/31/2022 8:39,,,31.58%,0.00%,68.42%,20.00%,0.00%,80.00%,F,F,F,F,T
22,18,2,14,34,0.4,0,0.8,1.2,trash,1/31/2022 8:46,,,52.94%,5.88%,41.18%,33.33%,0.00%,66.67%,F,F,F,F,T
23,8,5,20,33,0.4,0.4,1.6,2.4,trash,2/1/2022 12:40,Zweli's openhouse,,24.24%,15.15%,60.61%,16.67%,16.67%,66.67%,F,F,F,T,F
24,17,1,53,71,0.8,0.2,3.2,4.2,trash,2/1/2022 12:46,Zweli's openhouse,,23.94%,1.41%,74.65%,19.05%,4.76%,76.19%,F,F,F,T,F
25,28,0,51,79,0.2,0,2,2.2,compost,2/1/2022 12:43,"poor labeling -- two random bins labeled compost (hard to read), Zweli's openhouse",,35.44%,0.00%,64.56%,9.09%,0.00%,90.91%,F,F,F,T,F
26,10,1,66,77,0.8,0,3,3.8,compost,2/1/2022 12:43,"poor labeling -- two random bins labeled composting (hard to read), Zweli's openhouse",,12.99%,1.30%,85.71%,21.05%,0.00%,78.95%,F,F,F,T,F
27,9,4,25,38,0.6,0.2,1.6,2.4,trash,2/1/2022 12:46,Zweli's openhouse,,23.68%,10.53%,65.79%,25.00%,8.33%,66.67%,F,F,F,T,F
28,21,1,106,128,1,0,6.4,7.4,trash,2/1/2022 12:46,Zweli's openhouse,,16.41%,0.78%,82.81%,13.51%,0.00%,86.49%,F,F,F,T,F
29,18,1,52,71,0.6,0.4,5.6,6.6,trash,2/1/2022 12:44,,2 batteries,25.35%,1.41%,73.24%,9.09%,6.06%,84.85%,T,F,T,F,F
30,43,19,41,103,1.2,0.2,1.4,2.8,recycling,2/1/2022 12:49,,,41.75%,18.45%,39.81%,42.86%,7.14%,50.00%,T,F,T,F,F
31,20,20,14,54,0.2,0.2,1.8,2.2,compost,2/1/2022 12:43,compost label on this bin was flipped backwards so people couldn't see it,,37.04%,37.04%,25.93%,9.09%,9.09%,81.82%,F,F,T,F,F
32,108,19,208,335,2,0.6,16.8,19.4,trash,2/1/2022 12:30,,,32.24%,5.67%,62.09%,10.31%,3.09%,86.60%,T,T,F,F,F
33,12,2,33,47,0.2,0.2,2,2.4,compost,2/1/2022 12:31,,,25.53%,4.26%,70.21%,8.33%,8.33%,83.33%,F,T,F,F,F
34,16,23,8,47,0.8,0.8,0.4,2,recycling,2/1/2022 12:32,,,34.04%,48.94%,17.02%,40.00%,40.00%,20.00%,T,T,F,F,F
35,169,9,201,379,2.4,0.4,20.6,23.4,trash,2/1/2022 12:34,,,44.59%,2.37%,53.03%,10.26%,1.71%,88.03%,T,T,F,F,F
36,47,27,17,91,3.2,1.8,0.8,5.8,recycling,2/1/2022 12:37,,,51.65%,29.67%,18.68%,55.17%,31.03%,13.79%,T,T,F,F,F
37,5,1,13,19,0.2,0.2,0.4,0.8,compost,2/1/2022 12:39,,,26.32%,5.26%,68.42%,25.00%,25.00%,50.00%,F,T,F,F,F
38,25,2,59,86,0.8,0,6.8,7.6,trash,2/12022 12:39,,yard waste,29.07%,2.33%,68.60%,10.53%,0.00%,89.47%,F,F,T,F,F
39,24,1,40,65,0.8,0,3.6,4.4,trash,2/12022 12:40,,some of the clear lids are compostable but others are waste,36.92%,1.54%,61.54%,18.18%,0.00%,81.82%,F,F,T,F,F
40,14,2,21,37,0.6,0,2.2,2.8,trash,2/1/2022 12:40,,,37.84%,5.41%,56.76%,21.43%,0.00%,78.57%,F,F,T,F,F
41,59,3,50,112,2,0,3.4,5.4,trash,2/1/2022 12:51,,,52.68%,2.68%,44.64%,37.04%,0.00%,62.96%,T,T,F,F,F
42,,,,,,,,,recycling,2/1/2022 12:56,,,,,,,,,T,T,F,F,F
43,,,,,,,,,trash,2/1/2022 12:58,,,,,,,,,T,T,F,F,F
44,,,,,,,,,recycling,2/1/2022 12:59,,,,,,,,,T,T,F,F,F
45,11,1,23,35,0.2,0,1.8,2,compost,2/1/2022 1:05,,,31.43%,2.86%,65.71%,10.00%,0.00%,90.00%,F,T,F,F,F
46,,,,,,,,,compost,2/1/2022 1:05,,,,,,,,,F,T,F,F,F
47,21,0,12,33,0.4,0,0.4,0.8,compost,2/1/2022 13:16,,,63.64%,0.00%,36.36%,50.00%,0.00%,50.00%,F,T,F,F,F
48,4,1,8,13,0.2,0.2,0.5,0.9,compost,2/1/2022 1:15 PM,,,30.77%,7.69%,61.54%,22.22%,22.22%,55.56%,F,T,F,F,F
Total,411,122,526,2837,23.3,9.8,44.4,185.5,,,,,,,,,,,,,,,
